id_mahasiswa,nama,nim,jenis_layanan,prioritas,waktu_kedatangan,estimasi_waktu_layanan
103,Zainal Pratama,202684178,Konsultasi,3,54,26
104,Lestari Kusuma,202676318,Surat Aktif Kuliah,1,53,20
105,Dewi Handayani,202657473,Surat Aktif Kuliah,4,90,9
106,Nina Nugroho,202678387,Pengajuan Cuti,2,103,22
107,Yanti Purnama,202670932,Surat Aktif Kuliah,4,34,15
108,Bambang Siregar,202621360,Legalisasi,3,96,19
109,Sari Laksono,202654093,Legalisasi,4,23,20
110,Gita Susanto,202643863,Legalisasi,4,89,13
111,Rini Santoso,202677716,Pengajuan Cuti,1,92,18
112,Putri Siregar,202672403,Surat Aktif Kuliah,3,101,5
113,Citra Putri,202639046,Surat Aktif Kuliah,2,84,23
114,Lestari Purnama,202682545,Surat Aktif Kuliah,3,95,22
115,Kartini Susanto,202669474,Legalisasi,2,15,28
116,Gita Ramadhan,202625671,Konsultasi,4,88,10
117,Gita Hidayat,202673465,Legalisasi,3,97,21
118,Tono Putri,202623177,Konsultasi,2,46,10
119,Joko Santoso,202680011,Legalisasi,1,6,22
120,Joko Sari,202693607,Pengajuan Cuti,3,111,5
121,Sari Putri,202671525,Surat Aktif Kuliah,3,6,13
122,Bambang Purnama,202624954,Konsultasi,3,9,23
123,Umi Wijaya,202629888,Legalisasi,3,38,7
124,Hadi Pratama,202683148,Konsultasi,3,101,24
125,Hadi Setiawan,202659857,Surat Aktif Kuliah,3,110,23
126,Nina Putri,202684532,Surat Aktif Kuliah,3,94,8
127,Yanti Hidayat,202691988,Legalisasi,3,20,12
128,Fani Kusuma,202630518,Legalisasi,3,76,20
129,Joko Wijaya,202640341,Legalisasi,2,110,19
130,Citra Siregar,202644676,Konsultasi,3,84,30
131,Dedi Hidayat,202665724,Legalisasi,2,19,13
132,Andi Sari,202619360,Legalisasi,4,76,28
133,Andi Putri,202667561,Legalisasi,3,89,17
134,Indah Setiawan,202680777,Surat Aktif Kuliah,1,5,18
135,Xena Ramadhan,202689130,Legalisasi,1,86,23
136,Sari Santoso,202698118,Konsultasi,3,97,29
137,Fani Purnama,202678022,Konsultasi,4,23,23
138,Nina Purnama,202621960,Surat Aktif Kuliah,3,41,26
139,Dewi Nugroho,202653229,Surat Aktif Kuliah,3,84,17
140,Andi Wijaya,202669615,Legalisasi,2,14,29
141,Mario Setiawan,202610151,Konsultasi,3,52,6
142,Gita Setiawan,202657420,Surat Aktif Kuliah,3,56,29
143,Budi Hidayat,202645004,Surat Aktif Kuliah,4,56,27
144,Putri Pratama,202613784,Pengajuan Cuti,3,30,27
145,Fani Putri,202682200,Legalisasi,3,28,8
146,Oscar Pratama,202694897,Konsultasi,3,91,14
147,Qori Maulana,202664460,Konsultasi,4,31,19
148,Rini Sari,202660278,Legalisasi,3,95,9
149,Bambang Kusuma,202646209,Konsultasi,4,43,30
150,Qori Maulana,202610337,Legalisasi,2,75,23
151,Vina Purnama,202629477,Surat Aktif Kuliah,3,42,22
152,Yanti Laksono,202669683,Pengajuan Cuti,4,89,12
153,Sari Laksono,202640614,Pengajuan Cuti,3,40,28
154,Putri Laksono,202660605,Pengajuan Cuti,4,83,9
155,Putri Wijaya,202626548,Surat Aktif Kuliah,3,111,8
156,Bambang Saputra,202623070,Surat Aktif Kuliah,3,92,9
157,Nina Sari,202619808,Surat Aktif Kuliah,4,43,24
158,Wahyu Laksono,202695176,Legalisasi,3,86,22
159,Mario Ramadhan,202692156,Konsultasi,4,111,22
160,Budi Kusuma,202640772,Surat Aktif Kuliah,4,29,28
161,Citra Handayani,202622904,Konsultasi,4,12,19
162,Fani Putri,202613795,Legalisasi,4,37,16
163,Lestari Handayani,202629081,Legalisasi,3,87,30
164,Fani Nugroho,202632947,Legalisasi,4,79,26
165,Hadi Purnama,202686436,Legalisasi,3,32,19
166,Indah Santoso,202670982,Pengajuan Cuti,3,20,7
167,Oscar Susanto,202687015,Legalisasi,4,88,13
168,Oscar Putri,202636112,Pengajuan Cuti,4,13,12
169,Mario Susanto,202685342,Legalisasi,3,2,26
170,Mario Maulana,202611062,Surat Aktif Kuliah,3,95,6
171,Dedi Purnama,202647513,Konsultasi,2,102,16
172,Hadi Hidayat,202691382,Legalisasi,4,98,26
173,Vina Sari,202692346,Legalisasi,3,5,14
174,Zainal Saputra,202614374,Surat Aktif Kuliah,4,11,14
175,Kartini Handayani,202633022,Legalisasi,4,112,16
176,Qori Setiawan,202645721,Konsultasi,2,105,20
177,Zainal Putri,202654397,Konsultasi,3,9,9
178,Yanti Siregar,202698648,Konsultasi,4,108,30
179,Rini Susanto,202621837,Konsultasi,1,68,8
180,Oscar Susanto,202698189,Konsultasi,2,48,25
181,Lestari Pratama,202698453,Legalisasi,1,113,22
182,Kartini Siregar,202694890,Legalisasi,4,116,27
183,Joko Handayani,202625293,Legalisasi,4,38,20
184,Dewi Pratama,202640776,Pengajuan Cuti,2,58,16
185,Vina Handayani,202686984,Konsultasi,2,53,25
186,Dewi Purnama,202690695,Surat Aktif Kuliah,4,4,27
187,Lestari Hidayat,202668116,Surat Aktif Kuliah,2,46,8
188,Vina Susanto,202681365,Pengajuan Cuti,3,7,17
189,Indah Hidayat,202626012,Pengajuan Cuti,4,11,26
190,Gita Santoso,202616630,Konsultasi,2,16,30
191,Sari Hidayat,202618993,Konsultasi,3,75,11
192,Andi Siregar,202653065,Konsultasi,4,76,5
193,Indah Sari,202627039,Surat Aktif Kuliah,4,14,26
194,Bambang Santoso,202627276,Legalisasi,4,30,23
195,Kartini Santoso,202632839,Legalisasi,2,53,21
196,Dewi Kusuma,202672423,Surat Aktif Kuliah,3,75,8
197,Oscar Setiawan,202639039,Pengajuan Cuti,1,100,26
198,Qori Putri,202670037,Surat Aktif Kuliah,1,61,17
199,Nina Pratama,202674261,Konsultasi,3,115,7
200,Kartini Sari,202618610,Legalisasi,3,74,22
201,Wahyu Ramadhan,202659926,Pengajuan Cuti,3,58,21
202,Tono Handayani,202623000,Konsultasi,2,83,25
203,Cici Hidayat,202666371,Surat Aktif Kuliah,2,43,19
204,Mario Handayani,202622464,Legalisasi,3,32,16
205,Eko Purnama,202618800,Legalisasi,1,55,8
206,Xena Susanto,202627055,Surat Aktif Kuliah,3,71,22
207,Kartini Pratama,202663846,Surat Aktif Kuliah,3,96,18
208,Bambang Wijaya,202647701,Surat Aktif Kuliah,3,73,21
209,Gita Sari,202696080,Surat Aktif Kuliah,4,44,22
210,Lestari Pratama,202646513,Surat Aktif Kuliah,4,108,22
211,Yanti Santoso,202689823,Pengajuan Cuti,4,34,5
212,Fani Maulana,202650500,Pengajuan Cuti,3,23,9
213,Sari Laksono,202619121,Legalisasi,3,3,7
214,Xena Setiawan,202638198,Surat Aktif Kuliah,3,20,16
215,Joko Ramadhan,202684396,Surat Aktif Kuliah,4,19,10
216,Yanti Wijaya,202698339,Legalisasi,3,54,20
217,Tono Saputra,202664288,Legalisasi,4,14,16
218,Nina Pratama,202647126,Konsultasi,3,67,26
219,Joko Wijaya,202638904,Surat Aktif Kuliah,3,0,11
220,Joko Hidayat,202627988,Konsultasi,2,15,5
221,Putri Handayani,202633029,Legalisasi,3,29,21
222,Rini Susanto,202619448,Surat Aktif Kuliah,4,55,5
223,Oscar Kusuma,202651034,Surat Aktif Kuliah,3,90,25
224,Nina Putri,202625097,Surat Aktif Kuliah,4,21,30
225,Tono Saputra,202657429,Legalisasi,4,31,18
226,Sari Laksono,202678677,Legalisasi,4,95,15
227,Hadi Ramadhan,202632038,Legalisasi,3,67,21
228,Gita Susanto,202656020,Konsultasi,4,104,9
229,Hadi Pratama,202629195,Legalisasi,2,19,29
230,Yanti Kusuma,202633219,Pengajuan Cuti,3,59,29
231,Sari Saputra,202699278,Pengajuan Cuti,3,81,24
232,Kartini Ramadhan,202629787,Surat Aktif Kuliah,3,80,14
233,Zainal Maulana,202687519,Legalisasi,3,39,19
234,Oscar Wijaya,202617457,Surat Aktif Kuliah,2,82,7
235,Tono Setiawan,202660395,Surat Aktif Kuliah,3,101,28
236,Cici Wijaya,202668948,Pengajuan Cuti,3,24,15
237,Tono Purnama,202675716,Legalisasi,1,13,30
238,Cici Ramadhan,202621054,Surat Aktif Kuliah,2,31,27
239,Oscar Saputra,202678691,Surat Aktif Kuliah,2,47,14
240,Mario Handayani,202654351,Konsultasi,1,80,25
241,Kartini Kusuma,202653214,Legalisasi,3,36,13
242,Xena Sari,202653695,Legalisasi,3,117,16
243,Joko Laksono,202626902,Surat Aktif Kuliah,4,39,22
244,Mario Ramadhan,202626751,Konsultasi,4,94,26
245,Dedi Setiawan,202622250,Surat Aktif Kuliah,3,46,5
246,Lestari Putri,202633628,Pengajuan Cuti,3,98,20
247,Gita Siregar,202628031,Legalisasi,2,100,8
248,Qori Setiawan,202614948,Konsultasi,4,79,9
249,Tono Laksono,202630219,Legalisasi,4,98,24
250,Zainal Nugroho,202667367,Legalisasi,3,92,12
251,Oscar Putri,202668842,Legalisasi,2,103,30
252,Putri Hidayat,202658214,Konsultasi,3,56,19
253,Yanti Putri,202660053,Surat Aktif Kuliah,3,20,11
254,Zainal Sari,202642769,Legalisasi,3,47,22
255,Dedi Pratama,202677622,Pengajuan Cuti,2,97,10
256,Indah Saputra,202677287,Legalisasi,3,116,12
257,Andi Saputra,202655821,Pengajuan Cuti,3,50,21
258,Lestari Siregar,202660616,Pengajuan Cuti,3,3,15
259,Dedi Pratama,202695192,Legalisasi,2,4,14
260,Dedi Purnama,202628192,Konsultasi,3,78,5
261,Cici Kusuma,202612491,Legalisasi,4,70,28
262,Tono Setiawan,202665477,Legalisasi,2,38,8
263,Budi Siregar,202665028,Surat Aktif Kuliah,3,8,8
264,Andi Purnama,202688216,Surat Aktif Kuliah,3,73,12
265,Wahyu Sari,202648178,Surat Aktif Kuliah,3,30,23
266,Nina Nugroho,202697081,Konsultasi,3,46,7
267,Qori Setiawan,202676536,Surat Aktif Kuliah,3,60,6
268,Umi Laksono,202658930,Legalisasi,1,100,7
269,Lestari Siregar,202696128,Surat Aktif Kuliah,4,94,29
270,Kartini Sari,202615812,Surat Aktif Kuliah,3,82,10
271,Andi Saputra,202672723,Surat Aktif Kuliah,4,8,27
272,Yanti Saputra,202614848,Legalisasi,1,25,6
273,Kartini Putri,202677553,Surat Aktif Kuliah,4,60,13
274,Budi Hidayat,202647502,Surat Aktif Kuliah,4,110,25
275,Kartini Maulana,202626316,Konsultasi,3,51,28
276,Oscar Laksono,202654439,Pengajuan Cuti,3,63,16
277,Dedi Setiawan,202644960,Konsultasi,4,10,18
278,Tono Nugroho,202681497,Legalisasi,2,41,26
279,Joko Putri,202668448,Surat Aktif Kuliah,3,88,19
280,Lestari Saputra,202615552,Konsultasi,4,78,18
281,Indah Wijaya,202619836,Konsultasi,3,65,30
282,Xena Nugroho,202614082,Legalisasi,3,100,19
283,Budi Sari,202618813,Legalisasi,3,46,17
284,Sari Wijaya,202689311,Legalisasi,3,47,16
285,Oscar Kusuma,202685226,Legalisasi,3,40,25
286,Indah Siregar,202624870,Legalisasi,2,66,17
287,Dedi Pratama,202644312,Konsultasi,4,27,24
288,Joko Purnama,202636238,Legalisasi,4,57,10
289,Cici Saputra,202621507,Konsultasi,4,40,26
290,Lestari Kusuma,202682090,Surat Aktif Kuliah,4,108,10
291,Wahyu Nugroho,202657382,Surat Aktif Kuliah,2,25,30
292,Eko Siregar,202674753,Legalisasi,3,47,19
293,Zainal Sari,202690210,Pengajuan Cuti,1,50,27
294,Xena Purnama,202678904,Surat Aktif Kuliah,3,73,7
295,Eko Ramadhan,202694193,Legalisasi,3,66,16
296,Eko Nugroho,202626913,Surat Aktif Kuliah,4,7,8
297,Qori Sari,202649863,Legalisasi,3,90,12
298,Lestari Setiawan,202647231,Konsultasi,2,81,22
299,Indah Sari,202691923,Legalisasi,3,64,25
300,Fani Sari,202632440,Konsultasi,4,77,15
301,Andi Wijaya,202613719,Legalisasi,4,98,23
302,Indah Hidayat,202684992,Surat Aktif Kuliah,3,63,25
303,Rini Putri,202694137,Pengajuan Cuti,3,103,30
304,Vina Laksono,202648986,Surat Aktif Kuliah,3,20,19
305,Nina Purnama,202670876,Legalisasi,3,40,27
306,Kartini Susanto,202662261,Legalisasi,3,71,8
307,Kartini Siregar,202671142,Legalisasi,3,18,8
308,Budi Putri,202660352,Pengajuan Cuti,3,110,10
309,Andi Ramadhan,202685719,Konsultasi,2,20,20
310,Qori Saputra,202675374,Pengajuan Cuti,3,11,17
311,Qori Saputra,202641553,Legalisasi,3,6,14
312,Putri Purnama,202647454,Surat Aktif Kuliah,4,55,9
313,Cici Maulana,202657944,Konsultasi,3,51,6
314,Sari Hidayat,202657517,Surat Aktif Kuliah,1,64,19
315,Yanti Maulana,202691690,Konsultasi,2,12,17
316,Lestari Ramadhan,202683117,Pengajuan Cuti,4,25,24
317,Qori Laksono,202675547,Legalisasi,1,91,15
318,Zainal Purnama,202678070,Surat Aktif Kuliah,3,65,9
319,Kartini Ramadhan,202631300,Surat Aktif Kuliah,3,107,14
320,Sari Ramadhan,202676495,Konsultasi,3,90,23
321,Joko Purnama,202612181,Surat Aktif Kuliah,3,53,23
322,Joko Santoso,202688239,Surat Aktif Kuliah,4,100,29
323,Sari Siregar,202616732,Surat Aktif Kuliah,2,80,28
324,Tono Laksono,202629370,Konsultasi,2,73,27
325,Dewi Hidayat,202612483,Surat Aktif Kuliah,3,52,27
326,Gita Handayani,202675775,Konsultasi,4,111,28
327,Xena Wijaya,202628099,Surat Aktif Kuliah,3,84,20
328,Qori Laksono,202651125,Pengajuan Cuti,3,68,15
329,Rini Susanto,202698588,Konsultasi,4,82,30
330,Wahyu Maulana,202689964,Surat Aktif Kuliah,4,35,22
331,Joko Siregar,202649009,Konsultasi,4,88,27
332,Putri Ramadhan,202672889,Legalisasi,4,101,28
333,Indah Putri,202625975,Surat Aktif Kuliah,3,114,17
334,Andi Susanto,202629199,Legalisasi,2,91,7
335,Lestari Saputra,202695980,Legalisasi,3,25,22
336,Indah Maulana,202627993,Legalisasi,4,30,12
337,Budi Setiawan,202639580,Surat Aktif Kuliah,1,52,15
338,Wahyu Purnama,202623179,Konsultasi,2,70,10
339,Nina Purnama,202672581,Konsultasi,4,36,15
340,Joko Wijaya,202621726,Konsultasi,2,94,28
341,Bambang Wijaya,202632947,Surat Aktif Kuliah,4,119,6
342,Andi Laksono,202674931,Legalisasi,4,111,14
343,Cici Wijaya,202611215,Legalisasi,3,118,15
344,Joko Saputra,202694059,Surat Aktif Kuliah,3,120,9
345,Bambang Setiawan,202671345,Legalisasi,4,42,10
346,Xena Saputra,202694973,Legalisasi,2,94,15
347,Zainal Putri,202684421,Konsultasi,2,78,25
348,Cici Laksono,202666060,Surat Aktif Kuliah,1,85,8
349,Fani Sari,202672581,Legalisasi,2,33,17
350,Hadi Saputra,202644996,Pengajuan Cuti,3,92,23
351,Ahmad Maulana,202695680,Surat Aktif Kuliah,2,85,8
352,Oscar Putri,202630935,Surat Aktif Kuliah,3,114,27
353,Yanti Putri,202625390,Surat Aktif Kuliah,4,47,24
354,Hadi Siregar,202627508,Surat Aktif Kuliah,3,77,16
355,Nina Purnama,202680454,Konsultasi,4,97,12
356,Vina Kusuma,202678880,Surat Aktif Kuliah,4,9,23
357,Dewi Wijaya,202681782,Pengajuan Cuti,2,68,9
358,Fani Ramadhan,202678203,Surat Aktif Kuliah,3,91,23
359,Putri Kusuma,202676896,Surat Aktif Kuliah,1,16,21
360,Nina Saputra,202683913,Legalisasi,3,103,14
361,Xena Santoso,202661898,Legalisasi,1,27,23
362,Citra Wijaya,202665535,Legalisasi,1,7,7
363,Dedi Purnama,202614160,Legalisasi,2,17,29
364,Umi Handayani,202659082,Pengajuan Cuti,3,111,17
365,Mario Kusuma,202699487,Pengajuan Cuti,4,17,25
366,Bambang Susanto,202625550,Legalisasi,3,67,9
367,Xena Siregar,202610456,Konsultasi,4,59,26
368,Xena Handayani,202679722,Surat Aktif Kuliah,2,58,16
369,Eko Maulana,202634705,Pengajuan Cuti,4,14,6
370,Zainal Handayani,202690600,Konsultasi,4,2,12
371,Gita Kusuma,202623225,Surat Aktif Kuliah,3,86,27
372,Bambang Wijaya,202642078,Konsultasi,3,29,22
373,Gita Wijaya,202628368,Surat Aktif Kuliah,2,104,28
374,Sari Ramadhan,202685691,Surat Aktif Kuliah,3,41,12
375,Joko Sari,202696536,Surat Aktif Kuliah,3,35,6
376,Rini Nugroho,202692051,Konsultasi,3,6,16
377,Umi Laksono,202678743,Legalisasi,3,19,14
378,Mario Nugroho,202680508,Surat Aktif Kuliah,4,38,27
379,Eko Saputra,202617553,Surat Aktif Kuliah,4,71,21
380,Eko Laksono,202641832,Legalisasi,3,10,19
381,Bambang Susanto,202622120,Surat Aktif Kuliah,4,6,13
382,Mario Wijaya,202619540,Legalisasi,4,92,26
383,Rini Hidayat,202672836,Legalisasi,4,38,5
384,Gita Hidayat,202625377,Konsultasi,4,117,12
385,Wahyu Hidayat,202661988,Pengajuan Cuti,3,99,14
386,Mario Saputra,202679947,Surat Aktif Kuliah,3,46,21
387,Cici Purnama,202671081,Legalisasi,4,60,29
388,Andi Ramadhan,202636625,Surat Aktif Kuliah,3,72,12
389,Xena Sari,202612126,Legalisasi,4,74,28
390,Nina Putri,202629977,Legalisasi,2,72,12
391,Putri Ramadhan,202643729,Konsultasi,3,92,25
392,Xena Purnama,202670402,Legalisasi,4,21,9
393,Xena Purnama,202634124,Pengajuan Cuti,3,82,6
394,Qori Wijaya,202619743,Pengajuan Cuti,3,97,5
395,Nina Sari,202692668,Legalisasi,4,1,11
396,Qori Saputra,202658917,Legalisasi,3,119,24
397,Dedi Purnama,202696414,Surat Aktif Kuliah,1,70,18
398,Ahmad Santoso,202679392,Konsultasi,3,36,5
399,Qori Handayani,202633497,Legalisasi,1,19,12
400,Gita Setiawan,202643085,Konsultasi,2,50,7
401,Lestari Laksono,202670162,Surat Aktif Kuliah,4,28,14
402,Vina Kusuma,202695687,Pengajuan Cuti,3,4,7
403,Mario Laksono,202659437,Surat Aktif Kuliah,1,1,27
404,Fani Kusuma,202675518,Konsultasi,3,42,23
405,Bambang Pratama,202679227,Pengajuan Cuti,2,115,27
406,Cici Purnama,202645533,Legalisasi,1,118,13
407,Cici Wijaya,202633509,Pengajuan Cuti,3,26,23
408,Eko Laksono,202620085,Legalisasi,3,72,17
409,Vina Ramadhan,202660312,Konsultasi,2,88,28
410,Citra Setiawan,202655333,Legalisasi,3,107,7
411,Kartini Laksono,202652779,Legalisasi,2,57,20
412,Hadi Susanto,202682488,Pengajuan Cuti,3,87,23
413,Vina Laksono,202621233,Konsultasi,2,31,27
414,Citra Kusuma,202645124,Legalisasi,4,81,9
415,Xena Laksono,202651508,Surat Aktif Kuliah,1,120,14
416,Oscar Susanto,202645359,Legalisasi,1,55,19
417,Rini Setiawan,202663484,Legalisasi,1,70,7
418,Tono Ramadhan,202660494,Legalisasi,3,99,7
419,Xena Siregar,202684968,Surat Aktif Kuliah,3,21,9
420,Indah Putri,202645181,Surat Aktif Kuliah,1,55,13
421,Nina Putri,202673470,Konsultasi,3,120,12
422,Xena Purnama,202687832,Surat Aktif Kuliah,3,17,14
423,Ahmad Laksono,202653545,Konsultasi,3,110,15
424,Oscar Ramadhan,202666442,Konsultasi,4,76,9
425,Joko Ramadhan,202689065,Pengajuan Cuti,2,40,10
426,Mario Ramadhan,202648201,Konsultasi,3,73,30
427,Hadi Ramadhan,202659291,Legalisasi,4,46,8
428,Dedi Hidayat,202687625,Pengajuan Cuti,2,98,22
429,Ahmad Saputra,202637480,Surat Aktif Kuliah,2,88,7
430,Andi Handayani,202698209,Surat Aktif Kuliah,3,30,13
431,Vina Sari,202665461,Konsultasi,1,76,20
432,Sari Laksono,202680041,Surat Aktif Kuliah,4,88,18
433,Rini Wijaya,202657125,Konsultasi,4,76,25
434,Dedi Kusuma,202624336,Konsultasi,3,45,10
435,Umi Wijaya,202683823,Pengajuan Cuti,3,51,29
436,Kartini Handayani,202623887,Legalisasi,2,65,28
437,Qori Siregar,202668430,Surat Aktif Kuliah,3,86,23
438,Wahyu Setiawan,202629759,Legalisasi,1,13,14
439,Nina Kusuma,202625214,Konsultasi,4,44,14
440,Kartini Saputra,202637115,Surat Aktif Kuliah,3,12,19
441,Xena Saputra,202651801,Legalisasi,1,90,8
442,Ahmad Ramadhan,202694931,Legalisasi,4,119,28
443,Hadi Setiawan,202632866,Surat Aktif Kuliah,3,54,19
444,Hadi Laksono,202692544,Legalisasi,3,55,17
445,Ahmad Hidayat,202668927,Surat Aktif Kuliah,3,90,11
446,Gita Maulana,202618201,Surat Aktif Kuliah,4,68,10
447,Lestari Ramadhan,202635831,Surat Aktif Kuliah,2,110,20
448,Qori Ramadhan,202688247,Surat Aktif Kuliah,3,14,16
449,Lestari Saputra,202690919,Legalisasi,3,102,14
450,Dedi Kusuma,202698095,Legalisasi,2,39,8
451,Fani Susanto,202628529,Surat Aktif Kuliah,3,17,23
452,Mario Handayani,202634348,Surat Aktif Kuliah,3,117,25
453,Dedi Nugroho,202682734,Legalisasi,2,23,15
454,Andi Saputra,202691188,Legalisasi,3,1,20
455,Eko Hidayat,202660325,Pengajuan Cuti,3,63,18
456,Vina Purnama,202664478,Konsultasi,3,21,7
457,Sari Santoso,202638906,Legalisasi,2,68,14
458,Fani Saputra,202684141,Konsultasi,4,70,21
459,Dewi Pratama,202645113,Konsultasi,4,46,22
460,Andi Wijaya,202667851,Surat Aktif Kuliah,4,13,28
461,Andi Siregar,202649022,Pengajuan Cuti,1,33,16
